model,description,mode,total_items,retrieval_recall_pct,acerto_factual,fidelidade_contexto,qualidade_pt,citacao_fonte,score_global,pass_gate_pct,latency_avg_s,latency_r1_s,latency_r2_s,speed_tok_s,tool_call_rate_pct,query_reformulation_rate_pct
lfm1.2b,"LFM2.5-1.2B-Instruct QAD-Q4_0 (embarcado, baseline)",classic_rag,151,29.1,1.44,1.38,3.7,1.25,1.72,3.3,0,N/A,N/A,0,N/A,N/A
lfm2.6b_noth,LFM2.5-2.6B QAD-Q4_0 (reasoning OFF / --reasoning-budget 0),classic_rag,151,29.1,1.89,1.73,4.1,1.64,2.12,7.9,0,N/A,N/A,0,N/A,N/A
lfm2.6b_noth_v1,lfm2.6b_noth_v1,classic_rag,151,29.1,1.88,1.7,3.98,1.63,2.09,9.9,0,N/A,N/A,0,N/A,N/A
